quad_k,orig_sigma_x,orig_sigma_y,pred_sigma_x,pred_sigma_y
-3.5750008,0.0001078254068782588,0.00019678840464063525,0.0001508364107618437,0.00017732971877813193
-2.2537339,0.00010959953460009788,0.0001344563574157269,0.00015826566761738934,0.00012437999836297417
-1.5507025,0.0001225316345756577,0.0001051053385391003,0.0001351221866952832,0.00010083161032912083
-1.0918313,0.00011723326259635306,8.827809346018599e-05,0.00011560306703963469,8.79785876107462e-05
-0.7512446,0.00010273160231376558,7.864133802995094e-05,0.00010024985130564013,8.036100615470732e-05
-0.47359583,8.542932067979625e-05,7.191946260031193e-05,8.773326859375154e-05,7.574734602562194e-05
-0.22943558,6.976185476965363e-05,6.83190621340966e-05,7.724838253097996e-05,7.311338720894067e-05
-7.967514e-17,5.557290115187511e-05,6.800694200060876e-05,6.878941668968527e-05,7.193592135378451e-05
0.22943558,5.2170017157985716e-05,6.827549792566032e-05,6.333793014538421e-05,7.20433645657262e-05
0.47359583,5.5134827609915526e-05,7.179681338375505e-05,6.275052554382225e-05,7.358447630017028e-05
0.7512446,6.508929130315952e-05,7.72040955792589e-05,6.852409911685772e-05,7.695191684120056e-05
1.0918313,8.153623935097776e-05,8.500497503017384e-05,8.151014539625638e-05,8.326008761280941e-05
1.5507025,0.0001025836530609875,9.60497969482485e-05,0.00010294085218783927,9.489398235211038e-05
2.2537339,0.00013376268571623954,0.0001144785428913405,0.0001367186730968076,0.0001177729117539578
3.5750008,0.0001753845854740594,0.00015268330152082502,0.0001875914421016545,0.00017116852330772533
